,v
10,"[0, 0.005151009317977218, 0.005061512408157646, 0.0050362901892256045, 0.005142920606090554, 0.005457411087573202, 0.006035920202270858, 0.0069242467837548624, 0.008127686601592509, 0.009465548207923773, 0.010074670816728182, 0.01050255542248583, 0.01087797926061618, 0.011231716721640762, 0.011584493040196856, 0.011949402730592753, 0.012336783999840312, 0.012743013948659045, 0.013137862012268799, 0.013538215436436159, 0.014027247887393018, 0.014636202805266566, 0.01585273202795316, 0.017079394020537254, 0.018813998475932445, 0.01734635859391834, 0.020653707050660598, 0.01771352797140653, 0.017675490540531157, 0.01612952242286929, 0.01660483256333489, 0.01554417912207003, 0.015623908049473919, 0.015016364770648945, 0.015811432612906042, 0.00828645499211121, 0.011968549135832455, 0.007665147765497627, 0.007833647874983815, 0.013277840881366892, 0.01630721452957519, 0.010924747768027605, 0.012862588098469768, 0.008880836361500215, 0.0037081791668006855, 0.009334038926802771, 0.016730854553544085, 0.006535082380203163, 0.0049232990376665, 0.007758587606043859, 0.016109535282069556, 0.006457946677281505, 0.001979256471527766, 0.008981988755078843, 0.015126751271770333, 0.0063877719932846945, 0.0038623153070893954, 0.00940645560206965, 0.013870817429848989, 0.007755582863362693]"
11,"[0, 0.004283580848296409, 0.004523494539011927, 0.0047900983448682976, 0.005095131808130287, 0.005463598740246032, 0.005948188246081995, 0.006638648078191245, 0.007587355753712311, 0.008659034709890294, 0.009097437032588349, 0.009414210329894729, 0.00969599454759504, 0.009948696613141026, 0.010178376734578883, 0.010390673688875496, 0.010589664851049407, 0.01078680937414763, 0.010995443512932353, 0.011236394051052333, 0.011564043696792623, 0.01214011344683772, 0.013141891599364493, 0.014310154685002973, 0.015224212707163197, 0.0152724116257852, 0.01584367839899332, 0.015455978702072229, 0.013380879110681386, 0.014005576629422478, 0.012329173167228435, 0.013907543490278902, 0.011054759679045586, 0.013802824192101378, 0.010654659250513987, 0.0066890263045205536, 0.009082844514699413, 0.005180708441420914, 0.00862140438119074, 0.010035422207041766, 0.009725918328422593, 0.007079585415677688, 0.010855041610546099, 0.00543916731208207, 0.009769429651009954, 0.00886468216276993, 0.008791795095189379, 0.005130156604134084, 0.009665321770057193, 0.010674827680065578, 0.009038328663457804, 0.00478945330282652, 0.00925149270574453, 0.009993230717794838, 0.008694781402853008, 0.005079870669147367, 0.009048901491378885, 0.009013082067864607, 0.009723335135599644, 0.005276704326403257]"
12,"[0, 0.0036305242896086153, 0.0036313138074807994, 0.003640170881887813, 0.003663873488199217, 0.003715960078737331, 0.0038231926750465993, 0.004025598226371841, 0.004326565148630569, 0.0046196078260389095, 0.004508694510689829, 0.004314099189202847, 0.0040968765981078984, 0.003942879547812458, 0.003962828066790161, 0.0041260453985160605, 0.00434553855901286, 0.004569366729702644, 0.004780160081299673, 0.004959126387852891, 0.005102461086109894, 0.005290850881735567, 0.005610229981257631, 0.005979191191992963, 0.006169126761287424, 0.0060250739851148115, 0.006040462697738497, 0.005705661494576528, 0.004828736693370199, 0.004899670012193782, 0.004239365608033304, 0.0047023842739642935, 0.0036571914259806047, 0.004543625628450815, 0.003455244988240088, 0.002168448497477616, 0.00292388515579356, 0.0016635801410424614, 0.0027582734446169118, 0.003205968156817327, 0.0033365427542298197, 0.0022760532357091402, 0.003518638337559899, 0.0017316499669138932, 0.0030613089737991446, 0.0027497722106123515, 0.002669350307961033, 0.0015826705748673028, 0.0029602095250601803, 0.003252658439608174, 0.0026827783080645667, 0.0014400499338580366, 0.0027879833556471788, 0.002986163104096899, 0.0024833815406989294, 0.0014985974459564748, 0.0027249708568260556, 0.0026690551416321388, 0.002631107433522214, 0.0014199000370863034]"
13,"[0, 0.0014909021917340669, 0.0015441159811653467, 0.001625321796610328, 0.0017384794795855813, 0.001892408096350271, 0.0021071195774604815, 0.0024196915576424924, 0.002860220803227983, 0.00339169041646668, 0.003715070029709007, 0.0040038366611845465, 0.004286016585358508, 0.0045605123571723005, 0.004827753168667992, 0.005090314504169154, 0.005353235999129516, 0.005633264975370439, 0.0059575087278479185, 0.0063830770481421994, 0.007049509340360986, 0.008257281237482518, 0.010210639779320357, 0.012174132336075739, 0.013487994162597034, 0.013786601787761948, 0.014474270827833471, 0.014260508945237234, 0.012511514239571109, 0.013198061352079248, 0.011756888644788445, 0.01328313959361357, 0.010743210722044195, 0.013221743851140198, 0.010515190558945807, 0.006381846236665176, 0.00887915184756442, 0.005129200222937043, 0.008027859622274402, 0.009138437553258718, 0.01723514117922642, 0.00699386778373656, 0.003052047646092953, 0.007820673340294425, 0.00224453440190288, 0.01057913109149812, 0.014704178361440999, 0.009107174571816675, 0.006154532450470444, 0.01184046487221512, 0.014975896682957342, 0.00735630862681457, 0.004012222302934067, 0.01174553303942892, 0.012185977411013751, 0.008915498093230742, 0.00730985082214203, 0.010581025502251052, 0.013974201443163279, 0.008290851183648746]"
14,"[0, 0.006676750825789462, 0.006654431014198051, 0.006652213438508591, 0.0066833565217958866, 0.006774480394683253, 0.006978322751565072, 0.007376258322530563, 0.007991331724584015, 0.008654308837897286, 0.008645115123137868, 0.008555588278213299, 0.008471838988162011, 0.008396175076388257, 0.008332037119035731, 0.008283868744211121, 0.00826253128757581, 0.008271277073144564, 0.008309677603123206, 0.008399008741943458, 0.008607342137452326, 0.008984758877766914, 0.009690637596806792, 0.010485006354461559, 0.011191494853239854, 0.011159244697955909, 0.01169583243553557, 0.01121300705794913, 0.009986828422761215, 0.009931438109864946, 0.009557799435891861, 0.0096620244884882, 0.008943955476602978, 0.00956874084497181, 0.00889735766778993, 0.004513309657008937, 0.007254412389570219, 0.003540592976890469, 0.006621404023653908, 0.006678982441390816, 0.012067619339599916, 0.009934297351416805, 0.011207106780191158, 0.008927343246604696, 0.009763039006137633, 0.00851945606238626, 0.015724412763676948, 0.006121349748171178, 0.005046894283798843, 0.008236253790137324, 0.01536686531039651, 0.005907944968595729, 0.003175025105944049, 0.007744506751855946, 0.01482106344920351, 0.004813709954027418, 0.005258363725585705, 0.010052404323529576, 0.013186794864620372, 0.007275815461821488]"
15,"[0, 0.008354393116321909, 0.008078704112648211, 0.00780233424603446, 0.007528562254216711, 0.007269696371984228, 0.007059346876489244, 0.00695661008741579, 0.006978235440077738, 0.007020531809880518, 0.0065971867958406726, 0.0062334277785903135, 0.005938030231880443, 0.005676687835778058, 0.005433891421099849, 0.005198577157343687, 0.0049584719895164045, 0.0047504222516128, 0.004557809761232163, 0.004353207746212421, 0.004198773104729436, 0.004138205892796529, 0.004296313794145113, 0.004261494242665628, 0.0046320938792038914, 0.0040301782764567955, 0.004929583009587387, 0.004632053676451896, 0.009349873647626007, 0.0070990437756219245, 0.017803638240911853, 0.008349889822410672, 0.01709347274574367, 0.012336938960197158, 0.020730002643236402, 0.010107313673587172, 0.014870735718735005, 0.008785817098943174, 0.0028490665884642993, 0.01738863489456085, 0.019156749652543287, 0.013888630758741942, 0.016102654040854085, 0.010553125501511619, 0.004323537297146505, 0.012599314563725332, 0.01849644401476679, 0.009691361357921315, 0.006764224253345039, 0.014602199309475367, 0.017952632587153995, 0.00855916822358167, 0.003119634385020877, 0.011233164967915751, 0.01681184178831642, 0.009816391006637688, 0.009747092055302643, 0.013882087405534753, 0.019906774945313094, 0.008382066138624312]"
16,"[0, 0.014927191146784462, 0.015061920686403702, 0.015239702891364844, 0.015493326027288139, 0.01588861508481178, 0.016556117960170973, 0.017699761502756876, 0.019387948300132372, 0.021217007808303087, 0.021405066035899832, 0.021371765747786327, 0.021331198488370538, 0.0212857718396679, 0.02123636186748814, 0.021182017560952705, 0.021118825595163433, 0.021048125180185295, 0.02096776867649372, 0.020870388392821442, 0.020750722402990637, 0.020641937136272687, 0.02062189554181348, 0.020748317333158784, 0.020872948633542675, 0.020012629942808988, 0.01978065183848539, 0.017164512658538786, 0.01676272581346647, 0.014210521325740138, 0.015509236790514053, 0.012747479261421914, 0.011656925957765204, 0.013844588212602827, 0.011621351845811614, 0.009505429147886334, 0.012856107297918293, 0.008517610153438548, 0.004228021741313599, 0.016842850459187906, 0.019263451338617066, 0.013650108959395087, 0.015891697691521243, 0.010332542522083793, 0.005280574346255132, 0.012417422924811624, 0.018413116677917025, 0.009677017105166146, 0.0067636636241721814, 0.014487565190158808, 0.01791486073308129, 0.00851858896924542, 0.003244784681510336, 0.011185751856489836, 0.016785755412261103, 0.009747314063496737, 0.009420774435582865, 0.013811929119458052, 0.019807865714911495, 0.00835317289450384]"
17,"[0, 0.00846847513934983, 0.008628597727740727, 0.008774694152487491, 0.008903390374747942, 0.009040080890808842, 0.009270859543151945, 0.009741813354809394, 0.010525296355278543, 0.011440051461425967, 0.011563406717454525, 0.011653211099826904, 0.011788188445839213, 0.011943220678251782, 0.01210159008174025, 0.01225216686720357, 0.0123746436997698, 0.012479249809136433, 0.012642060766943469, 0.012898148420070529, 0.013263488961368275, 0.01414026938152784, 0.015438673224590974, 0.017233877272037918, 0.017888672247551085, 0.01990158684646093, 0.018306574667314578, 0.020575747597971154, 0.015400556257735452, 0.018824749673322278, 0.014798350314958013, 0.020161139605887432, 0.013747373892410066, 0.02241183860542433, 0.016120118031556073, 0.014029271257935067, 0.015009215069602524, 0.010543308934832926, 0.0014466211416345972, 0.016811791982077266, 0.020173504290453167, 0.019947302518487413, 0.021961239436056934, 0.01569241043498217, 0.01917816266638, 0.016650047499291772, 0.021668365114720835, 0.011196625250145267, 0.010183974266201039, 0.02040605910003261, 0.019974675391490795, 0.012007269925791413, 0.017045336503458748, 0.018230408680396305, 0.0209919676430248, 0.010099077032197238, 0.009340503766453985, 0.016954426691357195, 0.01920960679644102, 0.010889964629883814]"
18,"[0, 0.014783470115893661, 0.014374451450172646, 0.014067061753228473, 0.013907510730915614, 0.013940662678368139, 0.014249986909732398, 0.014970948425827708, 0.016111645803138213, 0.017278673429048253, 0.016999387983651214, 0.016478033946446584, 0.015892412555173884, 0.015240047806354039, 0.014422545095417641, 0.012254675176529372, 0.009508893889713012, 0.008769218457091542, 0.008343014803208678, 0.007953777093040345, 0.007873692879407946, 0.007958857663669711, 0.008734498271352453, 0.00843964798510339, 0.010557507032676775, 0.007929713967724863, 0.011821503342505178, 0.011360618964557999, 0.01259496216985311, 0.008685991477244045, 0.020698506339220914, 0.01304004655341432, 0.02135951893559893, 0.007946437113168212, 0.02391162467278164, 0.0136228490294701, 0.016609557314409665, 0.012856818703794551, 0.013369199944226634, 0.019471805799925832, 0.026780495748924993, 0.015319525310017986, 0.012198297845760443, 0.012261746108052172, 0.006579093083027297, 0.010359371272037, 0.021461433333975998, 0.011562678178377831, 0.012525555361995908, 0.019063248657716452, 0.02055889822124425, 0.010286056963648553, 0.00836648834952308, 0.017046828919126497, 0.02019454657428071, 0.01049242522013012, 0.012368467909989108, 0.01819103208705718, 0.019236289801559968, 0.011851193895083]"
19,"[0, 0.00918315574527077, 0.009230594706504574, 0.009303616862658159, 0.009420769071011545, 0.009619686377593646, 0.00997541930774235, 0.010603712083066211, 0.011533022608189282, 0.012506146993731425, 0.012469206258404118, 0.012281050070980392, 0.01207444498457087, 0.011857422180202144, 0.011637208282382539, 0.01141879374368477, 0.01120418761273923, 0.011004037004999844, 0.0108291198341294, 0.010695235770508562, 0.010647863400242548, 0.010822592293429622, 0.011340447062627509, 0.011921395792028949, 0.012174908570570195, 0.011636195206082842, 0.01132180343505999, 0.010206317857819861, 0.007760466576836767, 0.007712569089187461, 0.005998756489713954, 0.007650245180824753, 0.006832695962155557, 0.010921098340080539, 0.009515524804595754, 0.00734053952096829, 0.009795301929596822, 0.00717827266720977, 0.003257081553384902, 0.015208149349444419, 0.017135134434624583, 0.012214644642672775, 0.014051455915236589, 0.009605736746944357, 0.004595624493631318, 0.010350935590620702, 0.017839619497505007, 0.0072187728068499445, 0.004861791326751354, 0.0067001507827710765, 0.01719665263238292, 0.006787664831626969, 0.0015642070298629736, 0.00881011709712708, 0.015439905633836182, 0.007969291237331174, 0.0040560316213007555, 0.011674402922991448, 0.01608657501556036, 0.007849210609912506]"
