,v
10,"[0, 0.007363857685777425, 0.007390572144867613, 0.007421283531545647, 0.0074555875480315495, 0.007493163477519392, 0.007534217354000887, 0.007579948615122844, 0.007632792614358144, 0.007696209612368198, 0.007773913200656073, 0.007868633151539796, 0.007980730466282806, 0.008103905684840712, 0.00823811263649026, 0.008379398609827797, 0.008525122861952852, 0.008677280305569945, 0.008882187556655307, 0.009646142140613621, 0.00995103703320303, 0.010187479398969182, 0.010452270738270576, 0.010782545637802983, 0.011232742643174769, 0.011910249718654205, 0.013013499810427622, 0.014889908834806008, 0.014823567218363648, 0.014721824513740597, 0.014644780148583928, 0.013483285691811604, 0.01443189068713873, 0.012938452657386858, 0.01326879942688648, 0.01044285516776355, 0.012312169894591498, 0.009896523024945116, 0.012668684347255514, 0.009222342195141913, 0.012932233070284576, 0.005953598083224264, 0.00619635024947599, 0.007919743030397584, 0.005662312656024634, 0.008059402636141577, 0.006314725916102161, 0.008151280013740365, 0.0072060766956541554, 0.008177215573635072, 0.008162775701077554, 0.00810109302801815, 0.008087890219260471, 0.00801195592230796, 0.008060117956738843, 0.00797195928491759, 0.008055230089698747, 0.007950065164140518, 0.00805781983460658, 0.007943684791900319]"
11,"[0, 0.007781028774980173, 0.00797452345243379, 0.008179502732774433, 0.008390920655112086, 0.008602362151135478, 0.00880720682837959, 0.009000017195771922, 0.009177552880039809, 0.009339035261280194, 0.009485739592886996, 0.00962028110464685, 0.009745929137506465, 0.009865716911184718, 0.009983620101079718, 0.010103206597741547, 0.010228474370792644, 0.010366575766506876, 0.010575064306646797, 0.011455236130103654, 0.011795420163671739, 0.012062794862898824, 0.01236952388678654, 0.012756535265446964, 0.01328537892036111, 0.014080298389022371, 0.015372667018031845, 0.017567974755789712, 0.017459703967382285, 0.01731019114747698, 0.017201472376018215, 0.015802802636058693, 0.016910961432703604, 0.015133052357340122, 0.015534967355777484, 0.012235502910053105, 0.014508680528983067, 0.01170416547244885, 0.01515945404525302, 0.01122726904018484, 0.016321400042770273, 0.010890076447751232, 0.013556118642501712, 0.010980156911870147, 0.011218644085768713, 0.011221813525646919, 0.011118506657848817, 0.011168400322945603, 0.010459981528488595, 0.008295847738725385, 0.005778645650287515, 0.0065345917255551075, 0.006067073297573299, 0.006475704445007096, 0.0060360066547536255, 0.006493787791834983, 0.0060540384748914945, 0.006500437074848709, 0.006069274740066312, 0.006506504637276019]"
12,"[0, 0.004928887982642368, 0.0049797452567579194, 0.005034151945709615, 0.005091378867556453, 0.005150453303422285, 0.005210375802011763, 0.005270389093573978, 0.005330185232653427, 0.005389974869813263, 0.005450428818794805, 0.005512561233201279, 0.005577639022439496, 0.0056477712906920115, 0.005723667756878838, 0.005806976522814447, 0.0058999386285782315, 0.0060069758029234095, 0.0061622802841723116, 0.006720010439769272, 0.0069757759036064605, 0.0072032595074081615, 0.007470967970666049, 0.007808191890551834, 0.008260498401350218, 0.008919503124065526, 0.009959687134476678, 0.01169583506509984, 0.011981240194224663, 0.012134896194878508, 0.01217673368761121, 0.011231306324469881, 0.012002768001101692, 0.010719084428599266, 0.010937855353849927, 0.008518790206773033, 0.010044713664610952, 0.007834825493426045, 0.010043006364931106, 0.00575587068837951, 0.004598143796609093, 0.002893282054649483, 0.008997174007639643, 0.004534470232789475, 0.00415069035782898, 0.004289177865028965, 0.005986712196748042, 0.0045736992321126855, 0.005931544022413275, 0.004729826140531541, 0.00472079151156059, 0.004826109023693243, 0.004533274557218451, 0.004934156563822432, 0.004484552014779978, 0.004913483311101516, 0.004509102738146065, 0.0049277783379480375, 0.004529665733050598, 0.004938819130574052]"
13,"[0, 0.002002368028544126, 0.0020729679783734432, 0.002150665051061331, 0.0022355356820864107, 0.0023273394525638066, 0.0024254923385802814, 0.0025290910226073294, 0.002636988105061286, 0.0027479196453020936, 0.002860680132123869, 0.0029743156164291308, 0.0030882873168909756, 0.00320235838677787, 0.0033175719388552757, 0.003435933225897932, 0.003562598562779607, 0.003717366936337569, 0.004090415152420633, 0.005813404009810682, 0.00617513510735966, 0.006388345522337953, 0.0066112366162308055, 0.0068756692560481125, 0.00721882947842288, 0.007712309144521913, 0.008489353928067586, 0.00978589764700881, 0.009818511892040943, 0.009820669859863853, 0.009837899596310175, 0.009102216854814932, 0.009788065651146951, 0.008795690321037566, 0.009042892138590731, 0.007130425925377309, 0.008455125591451269, 0.006827434835910953, 0.00884086081561533, 0.00655478595534132, 0.009529508709300291, 0.006366705458801801, 0.00791997950166441, 0.00643049675573993, 0.006517671798316123, 0.006515628577314012, 0.006122231270508809, 0.006013264841998158, 0.0030382332582845352, 0.005456658803368334, 0.0048661482140708685, 0.005400601870572844, 0.004817021486905459, 0.005322437830375951, 0.004760408858124554, 0.005265872731019388, 0.004822001421402618, 0.0052585011577741345, 0.004850764244353852, 0.005263217762652818]"
14,"[0, 0.015798324574694628, 0.015745543651893425, 0.01568319698341912, 0.01560423231510167, 0.01549955192837514, 0.015358196340486378, 0.01516761076177255, 0.0149142029459529, 0.014585600573395696, 0.01417730948224538, 0.013703437670418593, 0.013199982017897082, 0.012708989945523093, 0.01225375441693372, 0.011836748823373381, 0.011448438617924633, 0.011079566822132585, 0.01077295717169092, 0.011086091256586588, 0.0107464024480824, 0.010254590018046423, 0.00969262283537138, 0.009034348132132566, 0.008214073195777875, 0.007138845765823532, 0.005768334498328628, 0.004028076301764939, 0.0070237691090962815, 0.0009343572272847497, 0.01421669651972014, 0.008236689950780389, 0.02166218582632806, 0.012425541062739411, 0.020691612808528582, 0.012439237711623636, 0.013612614791133954, 0.01129190485459885, 0.019346813339604807, 0.013531801996674045, 0.011035067323111302, 0.015418080454285832, 0.020811410504928265, 0.020717201015092845, 0.01583214471963586, 0.02080540075033052, 0.017125665884973232, 0.020604045374503957, 0.020161857530110835, 0.02024243833699562, 0.02017472059831253, 0.020088398302427167, 0.02007234986940638, 0.020034074839329535, 0.02003145807520109, 0.020012057431189587, 0.020012711054011027, 0.02000299133556781, 0.02000421177349666, 0.02000015277755961]"
15,"[0, 0.004734687311094019, 0.004759212377595359, 0.004789209993744085, 0.004824525047418465, 0.004864846082634134, 0.004909821356535355, 0.004959115422997554, 0.00501225166811817, 0.005068164913092072, 0.0051246272169603695, 0.0051780565902920265, 0.00522430727034141, 0.005258618429426992, 0.005282639718762177, 0.005299844321746154, 0.005315317116658917, 0.005335545006945512, 0.005391530061225805, 0.005786633543898005, 0.00590237151225988, 0.005981134575682846, 0.006080170658799397, 0.006219439596648779, 0.006428144748426454, 0.006764925919945361, 0.007338412177956364, 0.008337327723365444, 0.00824461210887331, 0.00813716166657341, 0.008044398413527666, 0.007651498452094228, 0.009106933536320238, 0.008024701093571873, 0.008256678108271027, 0.004899281057429029, 0.006044428229527358, 0.0038736868282393732, 0.007074697078160113, 0.0043009807714379416, 0.006343250911227916, 0.005567344841113787, 0.006753060768595855, 0.00797578170592045, 0.00577026124721707, 0.008137786727066129, 0.006477738506504474, 0.00826039948202522, 0.007182600667585468, 0.008278402521011207, 0.008366815661603034, 0.008239787618267769, 0.008330777234777648, 0.008201393346153767, 0.008322416175052324, 0.008198562799238113, 0.008332650172807798, 0.00820858047775638, 0.008350321849279313, 0.008231603979108755]"
16,"[0, 0.021129902543369862, 0.021126553472464872, 0.0211186905851817, 0.021105437480998655, 0.021086401359813486, 0.021061868304787658, 0.021032790053796057, 0.02100054853832434, 0.0209666169223623, 0.02093227190980543, 0.020898437688917155, 0.02086563230304995, 0.02083357294067488, 0.02080253622435862, 0.020771813121854242, 0.020739414704253473, 0.020698626349564844, 0.02061244649300357, 0.02062182140275966, 0.02068704595084857, 0.020694981620014173, 0.02069667404976638, 0.020704490256702766, 0.020730483095615652, 0.020804395673765557, 0.021019882524403042, 0.021625328324342323, 0.017180669974991142, 0.00603312444078152, 0.01636928985037582, 0.012910523090328424, 0.020731513920942843, 0.01566834597227451, 0.0176993048488126, 0.01641482622796622, 0.018181946379418796, 0.01675925207802664, 0.017756280085312614, 0.01733106333030002, 0.020886563507570496, 0.020930247017786258, 0.018548712433266556, 0.021885083484495645, 0.018766434465023053, 0.02261038794616932, 0.02025896101316859, 0.0230914729849393, 0.02315709439073365, 0.023390825627734115, 0.022082767184875757, 0.022806934417778355, 0.022129816069123488, 0.022513422355177254, 0.02210983730076473, 0.022434036750442962, 0.022098551587726938, 0.02241778582633864, 0.022111259732653522, 0.02244815341178945]"
17,"[0, 0.008919116962473456, 0.009003467090847934, 0.009091125290331691, 0.009179702753206348, 0.009266015736908413, 0.009346401419804064, 0.009417159920387741, 0.009474976226164637, 0.00951727738912828, 0.009542638138108921, 0.009551359255150705, 0.009546145487326048, 0.009534217353315668, 0.00952058817458596, 0.009512534855911036, 0.009517322140942006, 0.009543827491892124, 0.009645444233476031, 0.010364555364681794, 0.010595581992644494, 0.01077131342913894, 0.010992153413017717, 0.011292744012407385, 0.011725866956772989, 0.012399647587723746, 0.01351659287597789, 0.015432838595152407, 0.015333614537194501, 0.015204266815685255, 0.015105427840240583, 0.013843208135905194, 0.014766020395368123, 0.013087516801631786, 0.013304445565893724, 0.01027233619875137, 0.012026221758388538, 0.00935732044123182, 0.011915966965752266, 0.007861712249967207, 0.011800095827127184, 0.006950705717552164, 0.01123363902871683, 0.009291308626170888, 0.011291954333711536, 0.010470988875764255, 0.011377326470671346, 0.010381228480966679, 0.011381618353826195, 0.01025217718199268, 0.010035577526783645, 0.010163241413918313, 0.009905845747791625, 0.01007933176056733, 0.00983320435966321, 0.010045969593111326, 0.009782262105861849, 0.010027577938685524, 0.00974347490218932, 0.010009966369753332]"
18,"[0, 0.006673842029488722, 0.006705294259672118, 0.00673927973106108, 0.0067745599687928214, 0.006809572181785754, 0.006842724005642191, 0.006872758116355272, 0.006899085000089258, 0.006922222017064177, 0.006945732187932679, 0.00699507899967079, 0.00789180191970774, 0.008040046696737822, 0.00809487260840102, 0.008137846545063422, 0.008189008971211284, 0.008261079414208837, 0.008399663120701813, 0.00907639755649808, 0.009323596842671634, 0.009509768902927528, 0.009722004024350545, 0.009991848279410135, 0.010366918770938583, 0.010942812374470628, 0.01189617870887728, 0.013533852775268564, 0.013388290610936434, 0.013217663771138439, 0.013086729846038437, 0.011936917470405891, 0.012771944466110434, 0.01128889220166398, 0.011680950488752116, 0.009046427969813232, 0.01086489205095294, 0.00863318339565802, 0.011345270900126233, 0.008360311362941564, 0.012278602728862532, 0.008263843191092256, 0.009970400286709919, 0.008770172784111624, 0.004246505412031251, 0.009170000078878473, 0.008075764976201875, 0.00897608553994108, 0.009038335764153851, 0.009031029642087046, 0.01021999013521988, 0.008877369633366506, 0.009733156825992077, 0.008787602247468742, 0.00922145050070865, 0.0087955748864774, 0.009208578492372726, 0.00882019625355426, 0.00919189818820625, 0.00889395403389483]"
19,"[0, 0.009269406861974156, 0.009299181706490339, 0.009331429759456729, 0.009364414467339514, 0.009396000754282752, 0.009424082249716945, 0.00944708341986539, 0.009464323411282175, 0.009476110155717985, 0.009483596383850778, 0.009488531380351169, 0.009493021474842524, 0.009498906522573422, 0.009509377557014064, 0.009527479956676927, 0.009557004250654075, 0.009604972031368609, 0.009724895688619863, 0.010464981406825273, 0.010707339064413544, 0.010892034000645107, 0.011127745538196192, 0.011463646683860825, 0.011980583318871486, 0.012830832753706204, 0.014204883607704465, 0.016212399068369483, 0.015647273838566383, 0.014670588199801679, 0.013020713956637998, 0.0024225949684253674, 0.010610831978144275, 0.00432206131293264, 0.01098422717037359, 0.006179584431814239, 0.00917483755395894, 0.005848749650564462, 0.007295070356988562, 0.006494975301222262, 0.008998564874808629, 0.009577349088940354, 0.010181386604567117, 0.011667173995717758, 0.008759320974668076, 0.011580908715561495, 0.009706948752174068, 0.011768105831432375, 0.011354738452610718, 0.012027714401642445, 0.011861476704734685, 0.011893047174787058, 0.011771810973364131, 0.011782965604714417, 0.01172315976615768, 0.011742509371354824, 0.01170880536978475, 0.011723113337693662, 0.011709836128651627, 0.011728618453951269]"
