,v
10,"[0, 0.007459236649359067, 0.007513667498107632, 0.0075714811042648465, 0.00763193577593055, 0.00769403948649073, 0.007756767726355761, 0.007819356959382868, 0.007881529702719837, 0.007943587151693968, 0.008006386916604403, 0.008071165408161933, 0.008139335667875674, 0.008212405951150494, 0.008292040834405367, 0.008380201920342086, 0.008479391854667121, 0.008593477815232356, 0.008738817522735856, 0.00922458293453728, 0.009469872764406452, 0.009720105419130187, 0.010038676995901845, 0.010479424604702008, 0.011135572066268643, 0.01180791169240451, 0.012091215729014303, 0.012421068536080541, 0.012810856459350954, 0.01328155991914898, 0.013923290968261752, 0.013688601078900723, 0.01219233003303487, 0.014899491117083098, 0.01094515490008413, 0.012331417176154765, 0.009893098884164401, 0.012164654957093589, 0.009649890470164832, 0.012553114220653963, 0.009096986524816053, 0.012275032599461297, 0.007487181542481647, 0.012179788090815252, 0.0025353983423443065, 0.001212019019355019, 0.000854543800200987, 0.0016280134394551522, 0.0006525727720625759, 0.0006582942892851372, 0.0004808353431928371, 0.00012584781671328546, 0.0004748881823067847, 0.00022190027968641248, 0.0002115054963379423, 0.0004186610353042077, 0.0005570504240837503, 0.0007746689765528535, 0.0008466099975636193, 0.0012305086516048098]"
11,"[0, 0.008368612473998154, 0.008512798814398316, 0.008665734184307168, 0.008823924648885711, 0.008982861749833924, 0.009137805978058596, 0.009284784311271685, 0.009421381987121946, 0.009547042114992875, 0.009662881681687803, 0.009771172467250368, 0.009874762048344407, 0.009976679931074631, 0.010080011177789125, 0.010187976194136573, 0.010304210552875084, 0.010433778277682992, 0.010596672810437106, 0.011167020081575515, 0.011439534984863073, 0.011712028421418236, 0.01206026231170173, 0.01254737293086696, 0.01328212853895661, 0.014023402717208524, 0.014291847497504607, 0.014610135030938274, 0.01499537414857765, 0.015475882235791886, 0.01615663614810526, 0.015825612694139426, 0.01404995715323381, 0.017114357296467247, 0.012517740493832035, 0.01404349158332667, 0.011250363310271365, 0.013830549331926857, 0.011048068613826794, 0.01438751286279548, 0.010676840682232807, 0.014375000340737496, 0.009987432761488588, 0.01536382601474995, 0.009711222600408971, 0.013174408949626754, 0.009083827468994096, 0.009931820598632159, 0.008532924228828948, 0.008858913289595337, 0.00390686354924937, 0.001203498244208709, 0.0016453601369285488, 0.001258303913202077, 0.0013522762353816052, 0.0014554993584878788, 0.0013476536060320352, 0.001259481871639284, 0.001344559714093286, 0.0010757466471821044]"
12,"[0, 0.00554506497790141, 0.005595175123013495, 0.005648656538097693, 0.00570499845745121, 0.005763499032863647, 0.005823427985143139, 0.0058842449554686056, 0.005945762411638486, 0.00600822427923793, 0.006072287512123569, 0.006138887947487057, 0.006209106608188011, 0.006284130839571474, 0.00636530822591481, 0.006454249783800724, 0.00655301566000037, 0.0066647578460855145, 0.006802390842565645, 0.007207714652720257, 0.007428223608422358, 0.007655427568634264, 0.007939371641650945, 0.008323428913757779, 0.008882940935655581, 0.00945963253538973, 0.009724414195070518, 0.010023391107944686, 0.010372184436280933, 0.01080184368557086, 0.011424267213900736, 0.011442537592101803, 0.0104418072604077, 0.012941497688752246, 0.00941438512343917, 0.010461749092988836, 0.005042053492811012, 0.004808027942196121, 0.0013616174720513757, 0.002076323164215463, 0.0007328611558759605, 0.0007170320359758884, 0.0005597803886135174, 0.0014500469775169814, 0.00021308530360326144, 0.002093072927428338, 0.001730021151426853, 0.0016847323039187966, 0.000853670748137439, 0.0011575461248346088, 0.0010291076896236518, 0.0006991609860773161, 0.0010706771375303796, 0.0007202131935429745, 0.0008655916749729968, 0.0009526369700328371, 0.0009441300176333032, 0.0009607753500092466, 0.0010577473839209527, 0.0009931154017269069]"
13,"[0, 0.0020265484133373665, 0.0020949018453904423, 0.0021716162077700957, 0.0022568521178568733, 0.0023500006763687666, 0.0024494199193785494, 0.002552420348162485, 0.0026557061153750796, 0.002756208577412619, 0.002851898845293329, 0.002942169602722419, 0.003027678712306694, 0.0031098922787095775, 0.0031906630263371493, 0.0032721033787383993, 0.003357096332628429, 0.003452578969911222, 0.0036140028290303334, 0.004614678446589258, 0.004833693973196783, 0.004991826442150543, 0.00517608010540099, 0.005419225612632588, 0.0057713630277743035, 0.006130635939822296, 0.006287379049612134, 0.006469670977320789, 0.00668733305561199, 0.006953008361902477, 0.0073149947486255236, 0.007221259914281194, 0.0064563753658716215, 0.0079081056220026, 0.005813255370489301, 0.00654421017819506, 0.005258654977832625, 0.006487984895933742, 0.005201023404227059, 0.006803606338832064, 0.005070672164386748, 0.006864722380389779, 0.004806594721499235, 0.007476587476281475, 0.004879192704601482, 0.006783422163233742, 0.004796425473529414, 0.005287066392028695, 0.004721386686510419, 0.0050502991034688275, 0.004399164095047471, 0.004772745254579979, 0.004225330429231871, 0.004590372601102141, 0.0038216993807887794, 0.004325341064650799, 0.0027013303628969096, 0.0026903629401122515, 0.0007194725855582262, 0.00033616295850926576]"
14,"[0, 0.017990039917839148, 0.017852293736154913, 0.01769789262654268, 0.017517436949035212, 0.017297225336404126, 0.017017335300220635, 0.016650009486956, 0.016165218355944446, 0.015555328852061057, 0.014870226324919862, 0.01420523007752921, 0.013632552651135266, 0.013157679494308709, 0.0127464712874068, 0.012363204392110463, 0.011982821925396651, 0.011590487425181551, 0.011192125829036849, 0.011145432738234443, 0.010672687432849078, 0.01008956823591729, 0.00941554982236503, 0.008549447463377546, 0.007081448414810063, 0.003455061745234707, 0.0061316918599411355, 0.011454903691340631, 0.010929836964114748, 0.008844959060104789, 0.019109398352571735, 0.013502383529937451, 0.020360862674543484, 0.017534787678707288, 0.02014564377923088, 0.020229139079866277, 0.020087353496826804, 0.01937363140136573, 0.020005860247457607, 0.019854667820804313, 0.020000084391627145, 0.020148571271653197, 0.02009200633747108, 0.02011465193958482, 0.02006399217357491, 0.02000070476341503, 0.020003580983596253, 0.015196513379778703, 0.019167897466874584, 0.02009357639180091, 0.02010884290955152, 0.01941086942839793, 0.019748022812549906, 0.020085202064825048, 0.020103926205468782, 0.020130992730966166, 0.020123068568040497, 0.019944946439427468, 0.02010157827262208, 0.020096848454079982]"
15,"[0, 0.0024857496329780456, 0.0025499467638964704, 0.0026175955197663275, 0.002687885489042751, 0.002759691332429355, 0.0028317115547655926, 0.0029026945439670124, 0.002971688362377824, 0.003038168081448176, 0.003102084836815002, 0.0031638225542092767, 0.0032240679679434257, 0.0032836790599094705, 0.0033436187335470335, 0.0034049633616811082, 0.0034689908433970184, 0.003537531997296998, 0.0036176180035419917, 0.003838340485003584, 0.003959815753394457, 0.0040837840309918, 0.004239150375507449, 0.004455912920912831, 0.004802928642157619, 0.005322194946480568, 0.005723460056440978, 0.005946485200992868, 0.006156433830727425, 0.006405404174386106, 0.006753161846487989, 0.006709555805522117, 0.006079863577549999, 0.007571202621205103, 0.005647481865591479, 0.006386252206856806, 0.005138471462628167, 0.0063468249487750854, 0.005080773926887331, 0.006661674878249883, 0.004955296213302842, 0.006746690321539534, 0.004701147225390403, 0.007311636889595278, 0.004558975280684397, 0.006344063431216439, 0.0042309178804505135, 0.004734813808500794, 0.0035745014832308953, 0.0039109220424482964, 0.002076958871683946, 0.0017829539441271722, 0.00019453707725259576, 0.0003006114558122773, 7.497423615158808e-05, 7.369521566506485e-05, 8.2896248694135e-05, 4.668160908983756e-05, 8.722782205707213e-06, 0.00017975397796471615]"
16,"[0, 0.02109929627103558, 0.021081321502833716, 0.021059995934950594, 0.021034779608258357, 0.021005470929997706, 0.020972345314266845, 0.020936170026001268, 0.02089803660614677, 0.02085914149091526, 0.020820601034526518, 0.02078326617548523, 0.020747619047172976, 0.020713797812765902, 0.020681690075786532, 0.020650964071985134, 0.020620868768908892, 0.02058906513341898, 0.020541040904616024, 0.020518311897853195, 0.02053261658230857, 0.02052177071096627, 0.02051068088435313, 0.020509481053931824, 0.02054324066147664, 0.020148837246316817, 0.018891334282579577, 0.01758688273922384, 0.014643597470354396, 0.013059415619029173, 0.014420424432369407, 0.01667542340868779, 0.013992444979178335, 0.017908495178656652, 0.015664746777792032, 0.016548739076824137, 0.018041656108339892, 0.017448855186122197, 0.017898315060687495, 0.01731465681866447, 0.017618292120746212, 0.019239815459779423, 0.017708178212278988, 0.01900891546459131, 0.01836777879737519, 0.017089361753231398, 0.017919505971766586, 0.014021919301810295, 0.016973673363240706, 0.01741166840280597, 0.017580035530787224, 0.017796371684408428, 0.017612375544828262, 0.017549460094926854, 0.017759866455515177, 0.0178879197541585, 0.017637948522063372, 0.017622011627398675, 0.017672711123175033, 0.017803109601291296]"
17,"[0, 0.00819463543238903, 0.008250581128879076, 0.008310130899736654, 0.00837244154169237, 0.00843639534832743, 0.008500840695653562, 0.008564913646123752, 0.00862828130036976, 0.008691244431045428, 0.008754709827232159, 0.008819991295426833, 0.0088885889880364, 0.008962103769579026, 0.009042304859466098, 0.009131279643286432, 0.009231693024525015, 0.00934767480581201, 0.009496896294999163, 0.010014817112437199, 0.010269732573025802, 0.010528435308041527, 0.010859272285733591, 0.011319725787392779, 0.012009138456948572, 0.01271083763923888, 0.012988471336429504, 0.01331166606053709, 0.01369319185261447, 0.01415389178340781, 0.014784296706425303, 0.014468035374256375, 0.012809712022383927, 0.015539620454089222, 0.011266928728216455, 0.012549653573375182, 0.009952521224067949, 0.012188663630216253, 0.009651971580262526, 0.012553838214126901, 0.009097010922929598, 0.012275041720804314, 0.007487181773776255, 0.01217978817293581, 0.0025353983550850685, 0.0012120190241037374, 0.000854543807311232, 0.001628013445918023, 0.0006525727828360162, 0.000658294313407709, 0.0004808353721927194, 0.0001258478472990315, 0.0004748882212946017, 0.00022190026036996523, 0.00021150546254691935, 0.0004186609660842443, 0.0005570503201020165, 0.000774668839198402, 0.0008466098537490902, 0.0012305084555073193]"
18,"[0, 0.0018128984346771568, 0.0018483921186139753, 0.0018883494363265702, 0.0019336781372648521, 0.0019847460198721216, 0.0020404598967307687, 0.002097851429392267, 0.002153506580553427, 0.002205868541570635, 0.0022558647925572006, 0.002305761722969902, 0.002357638225833474, 0.0024120119210213854, 0.002467242047986325, 0.002520854047018984, 0.002571835166269798, 0.0026214912479146373, 0.002675906983955044, 0.0028311281113254216, 0.0029098423019403435, 0.002987370219561694, 0.003083443314897205, 0.00321459334875985, 0.003409061659545412, 0.0036052182160209584, 0.00367945029564994, 0.0037658455701899884, 0.0038689826502937286, 0.003996311824433533, 0.004174735757231649, 0.004091021030103115, 0.0036326111724066584, 0.004424949271929412, 0.0032374954893166987, 0.0036330936466595506, 0.0029130566272761436, 0.003582308076258282, 0.00286510369896198, 0.003732210353029606, 0.0027766723998647524, 0.0037414639232429925, 0.002615478133189609, 0.0040317426617201575, 0.0025980199501412396, 0.0035415842734248136, 0.002498808573290611, 0.0027346640546390944, 0.002457236053876232, 0.002618536318799718, 0.0023087508371757303, 0.00249627141895476, 0.0022711720433483663, 0.0024507191289944775, 0.002275638963087359, 0.0024608231969344193, 0.002240718803083125, 0.0024310429283464327, 0.0022415599659473184, 0.002455311504794844]"
19,"[0, 0.008023323000899509, 0.008079546502777988, 0.008140368092613759, 0.008204959996453499, 0.008272199780122402, 0.0083408968648175, 0.008410083430097262, 0.008479242150938631, 0.008548412988234043, 0.0086181349067864, 0.008689313542772806, 0.008763146120681775, 0.00884113963364064, 0.00892520219383956, 0.009017823980119617, 0.009122453757675909, 0.009244606201168478, 0.009404163117078514, 0.009937211387249859, 0.010218232075868094, 0.010530240459784393, 0.010964356957213236, 0.011618663890744731, 0.01263604242655182, 0.013710743259704927, 0.01409213226579947, 0.014211591840578396, 0.014196131274571403, 0.014035461427556071, 0.01282060526920598, 0.004087475328728126, 0.0049808117009830484, 0.0042225658063311695, 0.004483599470849047, 0.0039781626517132575, 0.0049417894497254655, 0.003261363654524192, 0.005428913525437797, 0.0035550678960750144, 0.004930298287311786, 0.006082407598705392, 0.005522504065102061, 0.005774819600341486, 0.0056228283811115805, 0.007541822189561255, 0.00675571032837294, 0.0027739955086112642, 0.003793537679567404, 0.005685654887961707, 0.0058362131292621485, 0.006189551504172813, 0.006580035941132251, 0.006610479048834652, 0.006618526252158687, 0.006790284344071041, 0.006646189725604685, 0.006608875932189463, 0.0067762181121946265, 0.006722112529210271]"
