,"n: 250000, k: 5000","n: 500000, k: 5000","n: 1000000, k: 5000"
0,0.0332,0.3868,0.4664
1,0.029599999999999998,0.392,0.47340000000000004
2,0.0312,0.3774,0.47219999999999995
3,0.0332,0.3872,0.46849999999999997
4,0.0308,0.3834,0.46309999999999996
5,0.032,0.3758,0.4732
6,0.027999999999999997,0.3816,0.4673
7,0.029599999999999998,0.384,0.46940000000000004
8,0.0328,0.3838,0.47109999999999996
9,0.0348,0.3836,0.46140000000000003
10,0.029599999999999998,0.38899999999999996,0.4744
11,0.0352,0.40220000000000006,0.4713
12,0.031599999999999996,0.387,0.4724
13,0.0324,0.395,0.4706
14,0.0284,0.381,0.4641
15,0.0268,0.393,0.4719
16,0.0292,0.3834,0.4678
17,0.0356,0.3908,0.47340000000000004
18,0.027999999999999997,0.38539999999999996,0.4737
19,0.037599999999999995,0.3792,0.4684
20,0.0364,0.3848,0.4693
21,0.0324,0.384,0.4724
22,0.03,0.384,0.46940000000000004
23,0.0292,0.3804,0.4704
24,0.026,0.3876,0.4679
25,0.0404,0.3852,0.4698
26,0.0328,0.388,0.4703
27,0.0416,0.3838,0.4715
28,0.0308,0.3886,0.47000000000000003
29,0.029599999999999998,0.3798,0.46849999999999997
30,0.029599999999999998,0.3938,0.46880000000000005
31,0.0336,0.383,0.4635
32,0.0288,0.3804,0.4693
33,0.0288,0.387,0.4705
34,0.0336,0.3828,0.4746
35,0.0324,0.3878,0.4704
36,0.0288,0.38539999999999996,0.46880000000000005
37,0.029599999999999998,0.3812,0.46829999999999994
38,0.0344,0.3808,0.471
39,0.03,0.38639999999999997,0.46499999999999997
40,0.0372,0.394,0.4715
41,0.0352,0.38,0.46480000000000005
42,0.0272,0.3844,0.46249999999999997
43,0.0328,0.3882,0.46699999999999997
44,0.0332,0.3946,0.46490000000000004
45,0.0336,0.3892,0.4703
46,0.0292,0.3936,0.4717
47,0.0308,0.381,0.46909999999999996
48,0.027999999999999997,0.377,0.46490000000000004
49,0.0372,0.38999999999999996,0.4664
50,0.036000000000000004,0.3868,0.4686
51,0.0276,0.3876,0.46880000000000005
52,0.0348,0.393,0.4726
53,0.0352,0.3852,0.4706
54,0.0324,0.3868,0.46849999999999997
55,0.036000000000000004,0.3926,0.46740000000000004
56,0.027999999999999997,0.3902,0.4704
57,0.0344,0.3792,0.4655
58,0.029599999999999998,0.3878,0.46499999999999997
59,0.0332,0.3802,0.46680000000000005
60,0.03,0.3878,0.4672
61,0.026,0.379,0.4705
62,0.0312,0.3932,0.4704
63,0.0356,0.3876,0.4701
64,0.0324,0.3774,0.4698
65,0.0276,0.3802,0.46959999999999996
66,0.0356,0.38999999999999996,0.46769999999999995
67,0.0356,0.3856,0.4666
68,0.04,0.3944,0.4686
69,0.0228,0.3868,0.4661
70,0.027999999999999997,0.3928,0.4664
71,0.0332,0.383,0.4661
72,0.032,0.38,0.47340000000000004
73,0.0352,0.3946,0.47109999999999996
74,0.0392,0.3856,0.4706
75,0.036000000000000004,0.37360000000000004,0.4693
76,0.0328,0.3908,0.46690000000000004
77,0.0348,0.3908,0.46759999999999996
78,0.027999999999999997,0.3912,0.46690000000000004
79,0.0328,0.3806,0.46430000000000005
80,0.0308,0.38639999999999997,0.4659
81,0.0336,0.38939999999999997,0.4687
82,0.030400000000000003,0.3836,0.4689
83,0.0324,0.3936,0.46699999999999997
84,0.0268,0.384,0.4684
85,0.029599999999999998,0.396,0.47019999999999995
86,0.024800000000000003,0.3712,0.4701
87,0.031599999999999996,0.3838,0.4667
88,0.03,0.3764,0.46649999999999997
89,0.0272,0.3892,0.4704
90,0.0292,0.3844,0.46680000000000005
91,0.025599999999999998,0.3868,0.46569999999999995
92,0.0312,0.3906,0.47159999999999996
93,0.0276,0.3852,0.46629999999999994
94,0.0328,0.3824,0.4675
95,0.026400000000000003,0.3824,0.4687
96,0.0356,0.39540000000000003,0.4721
97,0.030400000000000003,0.3812,0.4686
98,0.0368,0.3822,0.4667
99,0.03,0.3846,0.4644
