,"n: 250000, k: 2500","n: 500000, k: 2500","n: 1000000, k: 2500"
0,0.3856,0.4636,0.258
1,0.3944,0.46499999999999997,0.262
2,0.3908,0.46620000000000006,0.26220000000000004
3,0.38999999999999996,0.4666,0.2627
4,0.3852,0.4658,0.2672
5,0.3928,0.469,0.2646
6,0.3836,0.4726,0.26749999999999996
7,0.3844,0.46880000000000005,0.26120000000000004
8,0.3836,0.47340000000000004,0.2657
9,0.3828,0.46620000000000006,0.26080000000000003
10,0.39960000000000007,0.4638,0.2605
11,0.386,0.46959999999999996,0.2633
12,0.3764,0.4706,0.2636
13,0.38999999999999996,0.47000000000000003,0.2623
14,0.3804,0.46880000000000005,0.2615
15,0.378,0.466,0.2631
16,0.39480000000000004,0.47219999999999995,0.2602
17,0.3956,0.46420000000000006,0.25880000000000003
18,0.402,0.4732,0.2664
19,0.382,0.4622,0.2609
20,0.39039999999999997,0.46420000000000006,0.2589
21,0.3872,0.4684,0.2632
22,0.368,0.46680000000000005,0.25880000000000003
23,0.3852,0.47219999999999995,0.26180000000000003
24,0.382,0.4626,0.26189999999999997
25,0.394,0.47479999999999994,0.2636
26,0.3928,0.4666,0.2613
27,0.3776,0.4672,0.2626
28,0.3964,0.475,0.26120000000000004
29,0.39480000000000004,0.46759999999999996,0.263
30,0.3784,0.46820000000000006,0.26220000000000004
31,0.3872,0.47019999999999995,0.2624
32,0.3928,0.47219999999999995,0.2593
33,0.402,0.46959999999999996,0.2626
34,0.378,0.4712,0.2615
35,0.376,0.46620000000000006,0.26
36,0.386,0.47540000000000004,0.266
37,0.3932,0.461,0.2605
38,0.3868,0.46480000000000005,0.26220000000000004
39,0.3832,0.4752,0.26280000000000003
40,0.3804,0.4766,0.2624
41,0.402,0.4672,0.2631
42,0.3876,0.473,0.2626
43,0.392,0.4732,0.2614
44,0.3888,0.471,0.25880000000000003
45,0.3832,0.4706,0.2641
46,0.378,0.47400000000000003,0.2623
47,0.38,0.4646,0.2602
48,0.3704,0.46820000000000006,0.2602
49,0.3936,0.46880000000000005,0.2575
50,0.38839999999999997,0.46759999999999996,0.2633
51,0.3776,0.475,0.2604
52,0.3876,0.4738,0.2646
53,0.38839999999999997,0.4706,0.258
54,0.374,0.4638,0.2637
55,0.3924,0.4664,0.2615
56,0.39960000000000007,0.475,0.2582
57,0.3932,0.47600000000000003,0.2626
58,0.39039999999999997,0.47080000000000005,0.2593
59,0.39039999999999997,0.4732,0.2594
60,0.3792,0.4644,0.26389999999999997
61,0.3832,0.4692,0.2595
62,0.39760000000000006,0.47140000000000004,0.2631
63,0.392,0.468,0.26080000000000003
64,0.3924,0.4678,0.2602
65,0.4004,0.4752,0.2621
66,0.3888,0.46740000000000004,0.2609
67,0.3852,0.46940000000000004,0.2631
68,0.3908,0.4746,0.2621
69,0.3868,0.475,0.262
70,0.3808,0.4698,0.26289999999999997
71,0.3848,0.4652,0.2627
72,0.3932,0.47019999999999995,0.2607
73,0.3924,0.46820000000000006,0.2587
74,0.39480000000000004,0.46820000000000006,0.2615
75,0.3796,0.469,0.25980000000000003
76,0.38639999999999997,0.47159999999999996,0.2615
77,0.38839999999999997,0.4678,0.2633
78,0.3796,0.46680000000000005,0.2647
79,0.3728,0.4664,0.2607
80,0.394,0.468,0.262
81,0.39039999999999997,0.47340000000000004,0.2623
82,0.3936,0.47400000000000003,0.2625
83,0.3852,0.46699999999999997,0.2627
84,0.388,0.4666,0.2623
85,0.3964,0.46499999999999997,0.2623
86,0.3764,0.4652,0.26180000000000003
87,0.3768,0.46480000000000005,0.2621
88,0.372,0.45999999999999996,0.2613
89,0.382,0.4686,0.26220000000000004
90,0.3836,0.4602,0.2632
91,0.3936,0.47200000000000003,0.2637
92,0.37320000000000003,0.46480000000000005,0.2592
93,0.382,0.466,0.2587
94,0.3756,0.471,0.25980000000000003
95,0.37720000000000004,0.468,0.2632
96,0.3836,0.4664,0.2611
97,0.3816,0.4666,0.2616
98,0.3936,0.46740000000000004,0.2603
99,0.3896,0.4706,0.2635
