,20 con 100,20 con 1000,20 con 10000
0,3.0581430099454465,1.17324029113656,7.7705904886649755
1,6.828107446595925,8.713063045194259,4.943156430097365
2,-2.5966801511071527,-2.596672028914001,5.885633860798025
3,5.358877154917474,0.23076795789851445,0.23076796215696815
4,8.713059125531867,1.1732322968005144,2.1157223159654057
5,0.23073571711667418,4.000674841045507,9.655545114131804
6,2.1157030498021,4.000675986542366,2.1157232865809563
7,-3.5397220378780183,4.943150765061281,4.94315532978731
8,6.827873917603244,1.1732372176735177,9.655545958947377
9,7.770573012269013,-4.481626509278236,1.1732460067963175
10,0.23070227085716533,6.828107758948374,6.828111078553757
11,2.115624652153402,6.828104714880179,-1.6541876719012534
12,4.000678471671853,3.058193825770958,7.770589617518713
13,4.000639442636234,2.1157216647051533,5.885634866904217
14,3.058164385891561,2.115719714830181,4.000678652199223
15,2.1155873132970364,-2.596674535873578,1.1732459775953745
16,2.1156281965742614,-2.59667832445012,6.828112281643227
17,4.0005912607880045,-2.596674032333933,3.0582000327215786
18,-3.539154479139436,4.000668823117501,-5.424099748872775
19,4.94305206836976,-4.481627306060984,7.770590405950049
